title,description,genre
BLAST BRIGADE VS. THE EVIL LEGION OF DR. CREAD,"Blast Brigade vs. The Evil Legion of Dr. Cread is an eye-popping 2D action-adventure inspired by the popcorn-chomping thrills of '80s action flicks.

Assemble a crack team of heroes and use your platforming skills and puzzle-solving wits to traverse unique biomes, meticulously designed to encourage metroidvania-style exploration. Arm yourself with upgradeable weapons and perks, and embark on a daring mission to save the world from a mad scientist!","Genre(s): Action, Platformer, 2D, Metroidvania"
BLAST ZONE! TOURNAMENT,Blast Zone! Tournament is the fast-paced game with explosive combat. Take on challenges in the fully-loaded single-player campaign and prepare to compete in numerous multiplayer arenas.,"Genre(s): Puzzle, Action"
BLASTER MASTER ZERO,"Blaster Master Zero is a 8-bit style top-down & sideview 2D action-adventure game that hearkens back to the golden age of the NES.

Using the original 1988 NES title ""Blaster Master"" from Sunsoft as a base, with the addition of new areas and bosses, new gameplay elements such as extra sub-weapons, improved gameplay, a more robust scenario, refined and expanded exploration mechanics, and more.

This of course includes new areas and bosses, and new gameplay elements such as extra sub-weapons, improved gameplay when battling outside of your SOPHIA 3rd tank, a more robust scenario, refined and expanded exploration mechanics, and more.

-On the sideview maps, take control of the battle tank SOPHIA III and explore your surroundings as you search for the entrance to the dungeon where the area's boss lurks.
-Once you find a dungeon entrance, exit SOPHIA III and make your way inside as the hero Jason and take on the mutants inside in top-down mode.
-Defeat the mid-bosses and area bosses to acquire new items, sub-weapons, upgrades to SOPHIA III and Jason's equipment, and new abilities and move to the next area.
-Incorporation of HD Rumble features into various aspects of the gameplay.
-Player 2 can provide support for Player 1 as they traverse through the game in the co-op multiplayer mode.","Genre(s): Action, Platformer, 2D"
BLASTER MASTER ZERO II,"The side-scrolling/top-down hybrid action adventure gameplay returns with a brand new sequel to ""Blaster Master Zero""!

Experience the yet-untold story of Jason and Eve after defeating Earth's mutant scourge as they venture into the depths of space in their new battle tank, ""GAIA-SOPHIA""!

The story of Blaster Master Zero 2 begins a few months after the events of the first game (released on March 9, 2017), where the main protagonist Jason saves planet Earth from the mutants. Eve has been infected by mutant cells that are slowly corrupting her body, so together with Jason and Fred, they board G-SOPHIA and begin an intergalactic journey to Eve's home planet, Sophia, in hopes of finding a cure for the mutant infection.

A perfect blend of action-adventure through outer space and the signature Blaster Master gameplay creates a formula for a fun new experience.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
BLASTER MASTER ZERO III,"Blaster Master Zero's hybrid side-scrolling and top-down action are back for a 3rd chapter! Series protagonist Jason travels to where the series all began, the planet Sophia, in order to save the heroine Eve in this final installment of the trilogy.

A new battle begins as Jason and Eve's journey takes them to where the series began, the planet Sophia. From the depths of the planet Earth, into outer space, and now crossing dimensions, this quirky ""boy-meets-girl"" story will finally reach its conclusion!

Jason has received the power to cross dimensions! With the new ""VRV system,"" venture into super-dimensional space and conquer tricky areas with ""reversal"" as the theme.","Genre(s): Action Adventure, General"
BLASTOID BREAKOUT,"Breakout come back in this modernized top-of-the-art version.

Enjoy hours of pure fun with this classic break the bricks game. Enjoy the enhanced version with today device capabilities and revive the gameplay simple yet addictive of first generation video-games.

Collectable power-ups; multi-balls, fireballs make this version like no others.

Show off your skills and complete the increasingly challenging levels.

It's time for you to break a few walls!","Genre(s): Action, Arcade"
BLAZBLUE: CHRONO PHANTASMA EXTEND,"The most definitive installment of the renouned 2D fighting game franchise, BlazBlue, can finally be taken into your living room. Uncover the secrets, of the Chrono Phantasma Extend.","Genre(s): Action, Fighting, 2D"
BLAZE AND THE MONSTER MACHINES: AXLE CITY RACERS,"On your marks, get ready to race with Blaze, Pickle, Crusher, and more Monster Machine friends! From Axle City to the Monster Dome, the world of Blaze is yours to explore. Race at blazing speed for the championship or play with up to 4-players in split-screen mode!","Genre(s): Racing, Arcade, Automobile"
BLAZING BEAKS,"Roguelite - where too much greediness can be fatal. A colorful world with armed birds blazing their way through piles of mutants, monsters and creepy creatures. Lots of mysteries to unravel, secrets to discover and levels to explore.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
BLAZING CHROME,"In Blazing Chrome, bring your best pal and kick some metal butts to free the humankind while enjoying a classic run’n’gun, fully loaded with action and exciting fights.","Genre(s): Action, Platformer, 2D"
BLEED,"Wryn is a girl with a big arsenal and big dreams -- she wants to be the ultimate videogame hero! Help her take down the Greatest Heroes of All Time in an action-packed bid to claim the title for herself and show the world what a true hero looks like!

Bleed is an action-platformer focused on stylish, acrobatic dodging and fluid, challenging gameplay. There's no filler -- just you and your skills against seven levels of enemies, obstacles, breakneck set-pieces and inventive bosses!","Genre(s): Action, Platformer, 2D"
BLEED 2,"Bleed 2 is a relentless arcade action game featuring air-dodging, bullet-reflecting, and tons of bosses.","Genre(s): Action, Platformer, 2D"
BLEEDING EDGE,"From the studio behind DmC: Devil May Cry and Hellblade: Senua’s Sacrifice comes Bleeding Edge, a fast and frenetic 4v4 team brawler where every fighter comes mechanically enhanced for mayhem!
Choose your fighter from a diverse cast of colorful characters from the edges of society: burn rubber as bold and beautiful Buttercup with her detachable saw blade arms, wreak havoc as Black-Metal rocker Niđhöggr with his electrifying guitar solos or slash up the streets as Daemon, New York’s most wanted assassin.","Genre(s): 3D, Beat-'Em-Up, Fighting, Action, Shooter, Third-Person, Arcade"
BLESS UNLEASHED,"Bless Unleashed is the premier next-generation MMORPG, coming first to Xbox One.

Built for mature audiences, Bless Unleashed takes players on an epic multiplayer journey across a vibrant persistent world, and tasks the brave with battling – and surviving –vicious, lethal monsters that inhabit this untamed landscape.

Ancient betrayal and earthshaking disaster has led to thousands of years of enmity between the mortal and the divine. Now, heavenly whispers speak. The mad mistress of the dark, great and terrible Lumenas, will return to destroy the race of man and sink the earth into endless night. How long will she remain sealed before she breaks free to wreak havoc on the world?

Gather your allies close. As the unspeakable monsters of the world salivate for your grim end, stand fast and stoke your fury.

Your endless foes would see you weakened and beaten.

But you… You will make them pray.","Genre(s): Role-Playing, Massively Multiplayer"
